FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
59.0,2018-12-03,Falcon 9,6123.547647058824,SSO,VAFB SLC 4E,True ASDS,3.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046,-120.610829,34.632093
60.0,2018-12-05,Falcon 9,6123.547647058824,ISS,CCSFS SLC 40,False RTLS,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050,-80.577366,28.5618571
61.0,2018-12-23,Falcon 9,6123.547647058824,MEO,CCSFS SLC 40,None None,1.0,0.0,0.0,0.0,,5.0,0.0,B1054,-80.577366,28.5618571
62.0,2019-01-11,Falcon 9,6123.547647058824,PO,VAFB SLC 4E,True ASDS,2.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-120.610829,34.632093
63.0,2019-03-02,Falcon 9,6123.547647058824,ISS,KSC LC 39A,True ASDS,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
64.0,2019-05-04,Falcon 9,6123.547647058824,ISS,CCSFS SLC 40,True ASDS,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
65.0,2019-05-24,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
66.0,2019-06-12,Falcon 9,6123.547647058824,SSO,VAFB SLC 4E,True RTLS,2.0,1.0,1.0,1.0,5e9e3032383ecb554034e7c9,5.0,12.0,B1051,-120.610829,34.632093
67.0,2019-07-25,Falcon 9,6123.547647058824,ISS,CCSFS SLC 40,True RTLS,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1056,-80.577366,28.5618571
68.0,2019-08-06,Falcon 9,6123.547647058824,GTO,CCSFS SLC 40,None None,3.0,0.0,1.0,0.0,,5.0,2.0,B1047,-80.577366,28.5618571
69.0,2019-11-11,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.577366,28.5618571
70.0,2019-12-05,Falcon 9,6123.547647058824,ISS,CCSFS SLC 40,True ASDS,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.577366,28.5618571
71.0,2019-12-17,Falcon 9,6123.547647058824,GTO,CCSFS SLC 40,True ASDS,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
72.0,2020-01-07,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
73.0,2020-01-19,Falcon 9,6123.547647058824,SO,KSC LC 39A,None None,4.0,0.0,1.0,0.0,,5.0,3.0,B1046,-80.6039558,28.6080585
74.0,2020-01-29,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
75.0,2020-02-17,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,False ASDS,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
76.0,2020-03-07,Falcon 9,6123.547647058824,ISS,CCSFS SLC 40,True RTLS,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.577366,28.5618571
77.0,2020-03-18,Falcon 9,6123.547647058824,VLEO,KSC LC 39A,False ASDS,5.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.6039558,28.6080585
78.0,2020-04-22,Falcon 9,6123.547647058824,VLEO,KSC LC 39A,True ASDS,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
79.0,2020-05-30,Falcon 9,6123.547647058824,ISS,KSC LC 39A,True ASDS,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.6039558,28.6080585
80.0,2020-06-04,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,5.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-80.577366,28.5618571
81.0,2020-06-13,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.577366,28.5618571
82.0,2020-06-30,Falcon 9,6123.547647058824,MEO,CCSFS SLC 40,True ASDS,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
83.0,2020-07-20,Falcon 9,6123.547647058824,GEO,CCSFS SLC 40,True ASDS,2.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.577366,28.5618571
84.0,2020-08-18,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,6.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
85.0,2020-08-30,Falcon 9,6123.547647058824,SSO,CCSFS SLC 40,True RTLS,4.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.577366,28.5618571
86.0,2020-09-03,Falcon 9,6123.547647058824,VLEO,KSC LC 39A,True ASDS,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1060,-80.6039558,28.6080585
87.0,2020-10-06,Falcon 9,6123.547647058824,VLEO,KSC LC 39A,True ASDS,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.6039558,28.6080585
88.0,2020-10-18,Falcon 9,6123.547647058824,VLEO,KSC LC 39A,True ASDS,6.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
89.0,2020-10-24,Falcon 9,6123.547647058824,VLEO,CCSFS SLC 40,True ASDS,3.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
90.0,2020-11-05,Falcon 9,6123.547647058824,MEO,CCSFS SLC 40,True ASDS,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,8.0,B1062,-80.577366,28.5618571
,,,6123.547647058824,,,,,,,,,,,,,
